gradient descent step index m,w0,w1,w2
0,-0.3079615296390403,-1.8936146669537857,0.21329370737293857
1,-0.2834786117415947,-1.7868993876465131,0.307090372739714
2,-0.260024667225572,-1.6819095616360786,0.3982555313602566
3,-0.23788114401186813,-1.5791904360600828,0.48614552983343595
4,-0.2173754738785421,-1.4794122511755448,0.570000639768596
5,-0.19886065293239835,-1.3833453373118052,0.6489917349638819
6,-0.1826765259389355,-1.2917921448471206,0.7223166674303843
7,-0.1690981730485604,-1.205478354278663,0.7893331056344464
8,-0.15828817056008307,-1.1249334654207463,0.849681073950952
9,-0.15027246532788271,-1.0504081550124231,0.903340462704272
10,-0.14494844646426053,-0.9818603328644671,0.9506030308364241
11,-0.14211779262445598,-0.9190059929037087,0.9919830278075668
12,-0.14152817817776683,-0.861403714893234,1.0281101126715102
13,-0.14290999183122294,-0.8085385538363147,1.0596393542218807
14,-0.14600166886124094,-0.7598853684412719,1.0871923773699326
15,-0.15056369612282477,-0.7149475895717166,1.1113274279654342
16,-0.15638429005473042,-0.6732762257360849,1.1325295652776068
17,-0.16328001834848238,-0.6344759617697762,1.1512123391913875
18,-0.17109382177716942,-0.5982040220620518,1.1677248467240733
19,-0.17969197027230255,-0.5641655748857802,1.1823605687114493
20,-0.1889607970627808,-0.5321078872801094,1.1953661395291153
21,-0.19880362163024431,-0.5018143960405796,1.206949241217216
22,-0.2091380279193926,-0.4730992404060034,1.217285365126013
23,-0.21989353762445374,-0.4458024618773077,1.226523449118165
24,-0.23100965876659502,-0.4197859032115002,1.2347905087445352
25,-0.2424342659169036,-0.3949297584017056,1.2421954137890272
26,-0.25412226247403286,-0.3711296945986963,1.2488319589157415
27,-0.2660344777237475,-0.34829446078645365,1.2547813602327622
28,-0.27813675699553386,-0.3263439032525895,1.2601142887574728
29,-0.29039920963433624,-0.3052073175523303,1.264892531652814
30,-0.3027955856061788,-0.2848220773115738,1.2691703544793735
31,-0.315302756918254,-0.2651324902710289,1.2729956230050472
32,-0.3279002845508489,-0.24608884081931098,1.2764107311757176
33,-0.34057005531298756,-0.22764658575061192,1.2794533723049684
34,-0.3532959760460239,-0.209765676181618,1.2821571829732392
35,-0.36606371502309537,-0.19240998362774153,1.2845522831524552
36,-0.3788604823344342,-0.17554681234663275,1.2866657313622876
37,-0.39167484260231095,-0.15914648337500983,1.2885219099495606
38,-0.4044965546126801,-0.1431819783605339,1.290142852647618
39,-0.41731643344676833,-0.12762863344804773,1.2915485242480143
40,-0.4301262314957179,-0.11246387522117937,1.2927570603700025
41,-0.442918535385376,-0.09766699210886529,1.2937849738406564
42,-0.45568667635838994,-0.0832189358082203,1.294647333019798
43,-0.4684246520821597,-0.0691021482034329,1.2953579164568076
44,-0.48112705819383594,-0.05530041001724456,1.2959293475023084
45,-0.493789028173144,-0.0417987080506962,1.2963732118787932
46,-0.5064061803627948,-0.02858311837493578,1.296700160710886
47,-0.5189745711444527,-0.015640703257287183,1.2969200011048998
48,-0.5314906534334877,-0.0029594199494811027,1.297041776030408
49,-0.543951239784274,0.009471960247458888,1.2970738349792552
50,-0.5563534695045766,0.021663923988797077,1.297023896648387
51,-0.5686947792665901,0.033626280110314585,1.2968991047029672
52,-0.5809728767766502,0.045368217052805665,1.2967060775182435
53,-0.5931857171281345,0.056898354328562294,1.2964509526666714
54,-0.6053314815146739,0.0682247887536995,1.2961394268062754
55,-0.6174085580252336,0.07935513607056233,1.2957767915332958
56,-0.6294155242802646,0.09029656850002306,1.2953679656838226
